,County,Metro_Area,State,Population,Personal Income(2017),Personal Income(Rank in State 2017)
144,Leavenworth,"Kansas City, MO",Kansas,80190.0,"41,101",66
145,Miami,"Kansas City, MO",Kansas,32916.0,"46,231",30
146,Platte,"Kansas City, MO",Missouri,98627.0,"54,893",2
147,Ray,"Kansas City, MO",Missouri,22720.0,"40,116",27
148,Wyandotte,"Kansas City, MO",Kansas,164934.0,"32,085",105
149,Bates,"Kansas City, MO",Missouri,16355.0,"37,037",51
150,Caldwell,"Kansas City, MO",Missouri,9050.0,"35,121",64
151,Linn,"Kansas City, MO",Kansas,9608.0,"34,694",103
152,Delaware,"Columbus, OH",Ohio,196923.0,"71,325",1
153,Fairfield,"Columbus, OH",Ohio,152656.0,"44,179",26
154,Franklin,"Columbus, OH",Ohio,1274580.0,"49,448",10
155,Clark,"Las Vegas, NV",Nevada,2140547.0,"44,217",8
156,Marion,"Indianapolis, IN",Indiana,944139.0,"50,957",6
157,Hamilton,"Indianapolis, IN",Indiana,315990.0,"71,377",1
158,Hendricks,"Indianapolis, IN",Indiana,160369.0,"47,699",10
159,Johnson,"Indianapolis, IN",Indiana,151575.0,"46,517",12
160,Madison,"Indianapolis, IN",Indiana,129297.0,"36,691",74
161,Hancock,"Indianapolis, IN",Indiana,73728.0,"48,381",8
162,Morgan,"Indianapolis, IN",Indiana,69628.0,"42,324",27
163,Boone,"Indianapolis, IN",Indiana,64168.0,"71,102",2
164,Shelby,"Indianapolis, IN",Indiana,44259.0,"42,222",29
165,Putnam,"Indianapolis, IN",Indiana,37251.0,"36,189",82
166,Brown,"Indianapolis, IN",Indiana,15000.0,"44,905",16
167,Brown,"Cincinnati, OH",Ohio,43637.0,"35,361",75
168,Butler,"Cincinnati, OH",Ohio,378443.0,"44,900",23
169,Clermont,"Cincinnati, OH",Ohio,203053.0,"50,003",9
170,Clinton,"Cincinnati, OH",Ohio,41853.0,"43,080",30
171,Hamilton,"Cincinnati, OH",Ohio,811572.0,"56,931",4
172,Warren,"Cincinnati, OH",Ohio,226582.0,"56,808",5
173,Boone,"Cincinnati, OH",Kentucky,129185.0,"45,358",8
174,Bracken,"Cincinnati, OH",Kentucky,8367.0,"34,728",53
175,Campbell,"Cincinnati, OH",Kentucky,92055.0,"46,127",7
176,Gallatin,"Cincinnati, OH",Kentucky,8711.0,"30,286",99
177,Grant,"Cincinnati, OH",Kentucky,24915.0,"34,322",58
178,Kenton,"Cincinnati, OH",Kentucky,164676.0,"55,214",2
179,Mason,"Cincinnati, OH",Kentucky,17182.0,"39,056",23
180,Pendleton,"Cincinnati, OH",Kentucky,14571.0,"44,376",9
181,Dearborn,"Cincinnati, OH",Indiana,49434.0,"45,298",14
182,Franklin,"Cincinnati, OH",Indiana,22804.0,"44,500",18
183,Ohio,"Cincinnati, OH",Indiana,5892.0,"38,856",57
184,Wake,"Raleigh, NC",North Carolina,1048381.0,"56,162",4
185,Franklin,"Raleigh, NC",North Carolina,64596.0,"34,302",76
186,Johnston,"Raleigh, NC",North Carolina,190868.0,"38,278",42
187,Durham,"Raleigh, NC",North Carolina,307705.0,"47,825",10
188,Orange,"Raleigh, NC",North Carolina,142991.0,"62,202",1
189,Chatham,"Raleigh, NC",North Carolina,69646.0,"60,127",2
190,Person,"Raleigh, NC",North Carolina,39297.0,"36,722",53
191,Harnett,"Raleigh, NC",North Carolina,130631.0,"32,947",85
192,Dodge,"Milwaukee, WI",Wisconsin,87364.0,"42,640",50
193,Milwaukee,"Milwaukee, WI",Wisconsin,955057.0,"45,099",32
194,Jefferson,"Milwaukee, WI",Wisconsin,84485.0,"43,637",44
195,Ozaukee,"Milwaukee, WI",Wisconsin,88327.0,"79,255",1
196,Racine,"Milwaukee, WI",Wisconsin,194913.0,"46,412",22
197,Walworth,"Milwaukee, WI",Wisconsin,102686.0,"46,737",19
198,Washington,"Milwaukee, WI",Wisconsin,134386.0,"54,760",5
199,Waukesha,"Milwaukee, WI",Wisconsin,398561.0,"69,111",2
